""	"oxphos_glicolosis"	"oxphos_hipoxia"	"glicolisis_hipoxia"
"B cell"	0.652450547917149	0.440323683060887	0.560279024775848
"T cell"	0.629125400524263	0.506887884160622	0.621735965037277
"CAF"	0.8517545961577	0.690504072628924	0.766122400318363
"Macrophage"	0.562315060940368	0.258147016470317	0.657507907693159
"Endothelial"	0.752621937028968	0.722785247160967	0.792016203680405
"NK"	0.516620303034641	0.694021079621844	0.663387905210629
