""	"oxphos_glicolosis"	"oxphos_hipoxia"	"glicolisis_hipoxia"
"Fibroblast"	0.734311398591842	0.727635652112095	0.797009748031401
"B cell"	0.69200640611536	0.637151927370703	0.689545384475247
"Macrophage"	0.704325636839181	0.480279899095281	0.656026513973789
"Endothelial"	0.80689505705264	0.800556183967303	0.831595363667322
"T cell"	0.665414818142912	0.609970988410512	0.682681170699923
"Dendritic"	0.710165864790109	0.638434323281051	0.66456203299722
"Mast"	0.678913051649073	0.782540519761122	0.736699656307994
