""	"oxphos_glicolosis"	"oxphos_hipoxia"	"glicolisis_hipoxia"
"Fibroblast"	0.734303319130248	0.727846252699315	0.797083358797549
"B cell"	0.691485182461207	0.637683815344192	0.690734140733247
"Macrophage"	0.705088675201773	0.480392785809565	0.656237685028493
"Endothelial"	0.806981016556655	0.800725413561574	0.832091992537164
"T cell"	0.666140239276555	0.610909857069657	0.68366829900975
"Dendritic"	0.71178722058832	0.639039404332375	0.666128073131088
"Mast"	0.679593184278576	0.783960237951411	0.737868822232486
