	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
N-Glycan biosynthesis	0.781582911779723	1.12409729311045	1.57322593186757	NA	NA	0.752178149535634	0.865438717504227	0.8668627985995
Mucin type O-glycan biosynthesis	0.748843108788249	0.578591971254141	NA	1.31631339410988	NA	1.14880847490819	NA	NA
Mannose type O-glycan biosynthesis	NA	0.694685437788997	NA	NA	NA	1.38073082664978	NA	1.27246419116311
Other types of O-glycan biosynthesis	NA	0.385259071238926	NA	NA	NA	1.23669981925756	NA	1.23212659084779
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1.23876261339253	0.444188331464205	NA	NA	NA	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1.33825687536075	1.12655391318057	0.731083021012111	NA	1.26485307491911	0.507435354974649	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	1.59011444402686	NA	0.59239198018491	NA	NA	NA
Glycosaminoglycan degradation	NA	0.847075686020579	0.812498647846111	NA	1.18617629035769	0.848506636647867	NA	NA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.944005868364932	1.48429251796969	NA	1.16011154552935	1.14840401889712	0.708557630250176	0.742003780508685	0.812029659413063
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	0.56505099432989	NA	NA	0.729893590712017	1.34835792158987	1.68301266546184	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	0.647374808582094	NA	1.38734014732768	NA	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	0.71300777234008	0.76889825072113	1.68898083478787	NA	NA	0.888915956727013	NA	0.699459247405461
Other glycan degradation	0.811198097011177	0.668649269202759	NA	1.73786767323644	NA	0.54010941850421	NA	NA
Thiamine metabolism	NA	1.286196395651	NA	NA	NA	0.779010641335928	NA	NA
Riboflavin metabolism	0.575265751786486	1.88171010164467	NA	1.62331939928769	NA	0.649400633729281	0.548329808382813	0.615517559418161
Vitamin B6 metabolism	1.15261355213197	1.23113371033755	1.40010575888741	0.532784755927612	0.684694778401798	1.21278463817902	0.615720310386656	NA
Nicotinate and nicotinamide metabolism	NA	NA	NA	0.849500508058389	0.865766581198864	0.910763169631935	1.52778813353101	NA
Pantothenate and CoA biosynthesis	0.741133691319841	1.3508826768008	0.781718780524054	1.36440230003936	1.19612110681768	0.514349607970652	NA	NA
Folate biosynthesis	0.826108050018967	1.77836085832725	NA	1.40600182066327	0.825705417155744	0.659882611659275	NA	0.654594290318315
One carbon pool by folate	0.840087281622911	1.2414663763585	NA	NA	0.670855693802314	0.82895476969911	NA	NA
Retinol metabolism	NA	1.3763369700284	0.658297045019213	NA	0.754635785247242	1.32992237202144	NA	NA
Porphyrin and chlorophyll metabolism	0.723803151881791	1.94559637635677	0.750784361233509	1.5195738142958	0.762146784899031	0.640052886470099	NA	0.801331457767986
Ubiquinone and other terpenoid-quinone biosynthesis	NA	2.21433215837758	NA	NA	NA	0.51158970256219	NA	0.597110981270102
Terpenoid backbone biosynthesis	0.742453507845485	1.62189419013302	NA	NA	0.889459289329732	0.85757150305766	NA	NA
Metabolism of xenobiotics by cytochrome P450	NA	2.39405510944975	0.781438691277198	NA	NA	0.660703002663809	0.640705102603036	0.632660656874097
Drug metabolism - cytochrome P450	NA	3.10940205435745	NA	NA	0.544470176247829	0.476809158154554	0.525611514054634	NA
Drug metabolism - other enzymes	0.769690951923766	2.02633454133727	0.76185669589566	NA	NA	0.706159207827203	NA	0.786989000895843
