	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
Butanoate metabolism	1.12267472092338	1.26880802851836	1.0247155403622	0.926143280358328	0.74036319411426	1.06943854948381	0.840554618532975	1.00730206770669
Inositol phosphate metabolism	0.978487446086948	0.656075874934602	0.78143820196472	1.27364045755865	1.14806742547347	0.955890595932627	1.1511579394221	1.05524205862688
Oxidative phosphorylation	0.782381700693622	2.02614789075668	1.11517348989861	1.01142386411868	0.796768268803005	0.563774304681099	0.802770397406017	0.90156008364228
Nitrogen metabolism	1.48084448593012	1.86265374885634	0.254601321559042	0.199486773458753	1.31580085910726	2.29263128608947	0.462541618833272	0.131439906165747
Sulfur metabolism	0.744655426337643	1.384751087029	0.826963636650772	1.13003603506602	0.797594218288437	0.848956466563489	1.29345821502285	0.973584915041796
Fatty acid biosynthesis	1.20227055156548	0.911364217061488	0.781618998942952	1.05465167372592	0.959868127335774	0.842805188936401	0.863541804361237	1.38387943807075
Fatty acid elongation	0.756725518941535	1.8014705836427	0.742486226091708	1.25268483192226	0.914864322714474	0.774110647873352	0.75031890847934	1.00733896033462
Fatty acid degradation	0.8323255964583	1.26702826944405	1.11100703962827	0.935461067219694	0.79932446789076	0.847396569737914	0.950641127868783	1.25681586175223
Synthesis and degradation of ketone bodies	1.36812490462207	1.58055388617938	0.644534448772247	1.23251336017852	1.04975730261304	0.832671824552007	0.533460625075604	0.758383648007143
Steroid biosynthesis	0.651771158473031	2.39362904012951	1.15176101664888	0.80195738990702	0.634899564025865	0.843263686115243	0.795881872021121	0.726836272679328
Primary bile acid biosynthesis	1.16387730298839	0.982661027920639	0.684389829025823	1.30865739088531	1.1992031509737	0.576527867814888	0.930795469845466	1.15388796054578
Steroid hormone biosynthesis	0.881608920886311	1.75321203128411	1.04323947222012	0.631608385090484	0.87205683291172	1.10663621032916	0.596177497294552	1.11546064998355
Glycerolipid metabolism	0.905918235870206	0.659397331425633	0.983769621961315	1.1126901364045	1.11287957579441	1.15788548713165	1.09083122810261	0.976628383309674
Glycerophospholipid metabolism	0.773343606460502	1.00674995239309	0.823116879202381	1.41437386309934	1.14108539952936	0.763827321529304	0.947967906795788	1.12953507099023
Ether lipid metabolism	0.888147014487177	0.56651929939799	0.88748439323394	1.13848577223955	1.00159881610115	0.969151947341819	1.13275538319228	1.41585737400609
Sphingolipid metabolism	0.963170454968013	0.696204224950736	0.97485420390846	1.13738837601302	1.01780179868327	1.01126189312878	1.04157868075771	1.15774036759001
Arachidonic acid metabolism	0.774093390198728	1.91664845120531	0.853001702628825	0.822802267633906	0.883379430894082	0.907761966924111	1.09075451101565	0.751558279499381
Linoleic acid metabolism	0.816823107009217	1.96316122215358	1.05101290692391	0.50349591092192	0.787163611664776	1.2843944933502	0.711056760222249	0.882891987754151
