id	filename	md5	size	state
00424454-3217-4ced-8856-46a57d7a954d	029e64ca-6652-4234-9724-3d6c3fd88771.FPKM-UQ.txt.gz	94141ddddb03c4ca976c189a2cc72baf	516775	live
01651aef-dc4a-4527-b9ca-893fdfb12ccf	7dca2a25-5ce8-475c-a652-34be32269073.FPKM-UQ.txt.gz	9ab12d97d2f4a2ea7a9a224147d3ffa1	518516	live
018bbd39-b695-45ad-bae0-da5e9d153b3d	19e1f123-a36f-4580-a255-35b95ac0a7df.FPKM-UQ.txt.gz	9c9bd446b6cb06921f660a6a598a1bb0	509505	live
01d749ff-3810-4f16-b084-d3113ec5b6dc	3f2fe6d3-49e2-470a-9f6c-eab4f8bb8ab0.FPKM-UQ.txt.gz	e7ca146902cc70f9cd7fc3aba67ca6d1	533517	live
0205153c-8bc9-4396-8963-96861cac14e6	d46b9d71-479f-4f2d-a571-b0d9e9ccc72e.FPKM-UQ.txt.gz	4fd1580b289c224306ecc4fe25ddb4f0	524070	live
03268be7-dff4-40c1-aa56-9017bc4f8998	6c4bec8b-a0a8-4068-9ace-f20c5a4811f0.FPKM-UQ.txt.gz	42576fa08355cec6b20624d63e7e27fb	523924	live
032f140e-6571-41e0-90dc-6dccf0daee7c	817d8462-672b-4373-a453-79cdd7498725.FPKM-UQ.txt.gz	ea5e80de096b4cd2f2faaa836eddc825	500501	live
039b9c2d-5333-4d1a-bf88-2d8900868bdb	33a2e244-9f45-45e2-b2f3-ad4c52388490.FPKM-UQ.txt.gz	f10d278720045f415e3d2eb2fa636f30	521361	live
03f30fc0-3118-413d-b6df-b1d4b04aed2e	41e67c8d-6dcd-44e7-9665-8f3a91406ed8.FPKM-UQ.txt.gz	17f1a71f27345aef8493d1d1c3168c9b	508567	live
0420031e-c895-4e95-a4ec-7a086b7203de	4596bf99-aedb-40cf-8e98-ec3b953897f0.FPKM-UQ.txt.gz	38297bb084bf17f82dda50f6356f42f3	485725	live
0475f41f-271b-4434-9e78-93b1a401f275	63ef4125-0963-4037-a88b-1792255027f2.FPKM-UQ.txt.gz	9222a31ea3a898d3e1b485c0b830d27e	502925	live
04d80bd3-5b29-4e40-b6a6-d5ccc155ed2c	22002701-fcbc-4042-ac55-c93a6574c0b5.FPKM-UQ.txt.gz	a3f5841762ea010eabdfe968c32c1232	510122	live
05dfc810-b62a-40c4-95c3-522845ddcb5b	f3323c6a-95d6-4580-8c3a-d3f82fdf6416.FPKM-UQ.txt.gz	e7348d28b8cadddb33f93e13646c3207	517736	live
06122124-56db-4f74-9829-32f71225dbcc	ba7dd3b3-a31a-40f8-a714-9148b5d03725.FPKM-UQ.txt.gz	987ed01d49b28439a2f3da7a36f61139	530150	live
073437ba-db24-426b-8a83-94b4a8001cde	5a16cb58-82c0-49ee-8f71-5cf738e0beb2.FPKM-UQ.txt.gz	827a5a448dedbb4899a717b7e8134086	514418	live
084a517b-60dc-4ca5-8d17-e35233a4e1c6	4d26d2ea-cd58-4308-86b1-31d2347284d3.FPKM-UQ.txt.gz	23d6b8d4d32f516ed74715b7965baa75	513739	live
0899e8b8-a2ba-4854-bcc0-50016015d312	301fe08e-bffe-4f01-9e80-12f61f830cac.FPKM-UQ.txt.gz	ecce05ed69f284c8e1e6704ffdabf06f	515046	live
08a793ba-fc52-4258-bd62-88162f5fb144	215c61da-68bf-4780-ad62-07bcb5ea10b7.FPKM-UQ.txt.gz	25d1492f19ca5b1524c17db4a912f8b6	509330	live
08de66b1-702b-47f5-8900-4fb1810ca5b5	080d17ee-f898-4e67-bd6f-7019834171ac.FPKM-UQ.txt.gz	6958e98ee15b83d9203186e9fa84c71e	515921	live
08edb871-3d5f-4b66-ba4e-f6dcc0f3a242	7496da67-dbd8-4658-b705-a37ead3d8d61.FPKM-UQ.txt.gz	631933010c6a5f31387dfc8e84866f4b	518289	live
0950a206-534c-42ca-93ff-776022c42f66	5f2b6920-36df-43f2-b245-57d3352bf3a6.FPKM-UQ.txt.gz	db2d8fc6cd2745a5dde6f39065bcf59b	551453	live
09899e27-f229-4981-ae67-283dfed9143f	a4aaba48-26ef-4400-b3a0-9d6922ef76e7.FPKM-UQ.txt.gz	acf4bdd1f41b1a7e5638c7f20c806532	530827	live
09c8ec1d-c1d9-45a9-aab8-d92c0104ea03	3eca4bbb-7fca-4ffa-9ebf-044bee4fe341.FPKM-UQ.txt.gz	bc9c412d1523cae4ce796b8063174ad0	497962	live
09c98ffb-8e78-476d-9d82-4dbc6b762257	211f4551-8720-4f0d-9c59-88108fcc037f.FPKM-UQ.txt.gz	25bb39107c7fde95b154b85b9b629742	506539	live
0a35074c-fc7e-4d26-9dc7-b3548ba31534	cf87b142-1e14-48fd-a1e6-9f853c8839c5.FPKM-UQ.txt.gz	c03b5aee7d07e087aa1316a8ff02ffb7	505994	live
0a5e2f35-e169-418c-a064-a16124c62424	1c5cc140-7ab2-4596-9a16-e136f1379bc9.FPKM-UQ.txt.gz	cb14acae501fda8b0f2ca6a921f0488d	525279	live
0aeb5323-e79a-41f3-8bba-51221a25268a	0498a035-bea0-4601-8763-ed17963d982e.FPKM-UQ.txt.gz	20ac7c694ad4be3171f8d0aa2c09068b	499594	live
0bf20683-48b7-4d59-a110-625a2b43611a	42728372-b755-4cc5-9f4b-df1d2cef7879.FPKM-UQ.txt.gz	533aa0fce38e86b1f322238e0e05c8e5	513767	live
0c0b3ce7-c23e-42f4-82b4-06485e8d6bc8	75b0ca26-9ed9-42b1-b276-bf90ed67f3e3.FPKM-UQ.txt.gz	c182e18251d97bad89c821e63f15f3d2	516493	live
0c3d32d7-4021-4b1c-bbcd-e4de6fc919ae	49893832-1a4f-477c-bcdd-f904d8399b4b.FPKM-UQ.txt.gz	70f7b1d3ea86c003e5cf8902d716f1ff	519101	live
0ccbc483-4ebb-4898-80c0-7e3565b01243	77633295-c393-46a7-8d5d-ce05263bf295.FPKM-UQ.txt.gz	03029cbd07461380c28165d934ef8e6e	516684	live
0d0ab952-b21e-474a-8424-1d19545edb60	bd676e50-2d6c-4fea-a5a0-14ab1de08d84.FPKM-UQ.txt.gz	2ff681cb252fc97219a913d113cc304f	493137	live
0d7ba655-374a-421b-93bb-1159e456ed77	a4e355f9-b44d-43ab-ba1e-d76e0538f8fb.FPKM-UQ.txt.gz	919225a78454f3ea664b2cb59fe0018c	529110	live
0dd3c563-3350-4412-b8f6-7d4764261ba4	d939e0e3-4b94-48d3-a558-fa212f84fc8c.FPKM-UQ.txt.gz	dde5fb228a78b039c3e4e090c940d07a	531554	live
0e4f80c1-4257-4627-8619-c2a657a6592e	26b7907d-dec3-4517-b98f-27189c54e3c3.FPKM-UQ.txt.gz	b8804bc07de9db79623c3756202612c5	501262	live
