B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Riboflavin metabolism	0.816144138395012	0.866425123439695	1.25153852224007	1.23388979225412	0.854147398158824	1.26166789362861	0.716187131883675
Vitamin B6 metabolism	NA	NA	NA	NA	NA	NA	NA
Nicotinate and nicotinamide metabolism	0.887372460124649	1.03456384770688	0.871056594757438	0.940804896415158	0.94694902015918	1.25870771747597	1.06054546336073
Pantothenate and CoA biosynthesis	0.913018703135788	0.955393119411631	1.14140734035607	0.925561011723307	1.09666234679749	1.04439667866595	0.923560799909765
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0.796350932763288	0.784874512337158	1.47055871625028	1.37161231196333	0.968660964380865	1.05428318690759	0.553659375397486
One carbon pool by folate	1.06487516830063	0.88140216465329	1.16801080330142	1.51258637283986	0.828672272867538	0.784487044429589	0.759966173607678
Retinol metabolism	0.898264772749108	0.984919366141064	1.16277496337848	0.947463763725369	1.15451242108507	1.17856347577129	0.673501237149631
Porphyrin and chlorophyll metabolism	0.724123896425254	0.793154764071776	1.14298986867971	1.15473200804258	1.23325913185699	0.995388762809926	0.95635156811377
Ubiquinone and other terpenoid-quinone biosynthesis	0.783568997323039	0.883834196549565	1.37734843777483	1.26603060593894	1.11418831762194	0.87468549027492	0.700343954516764
Terpenoid backbone biosynthesis	0.798478628974763	0.744113604588504	1.2127635088894	1.36030927589278	1.05777792822431	0.879514110019719	0.947042943410524
Caffeine metabolism	1.36823798578243	1.1116565053372	0.84053869970067	0.786643543041597	0.786330485905733	0.999518583831254	1.10707419640112
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	0.945731450705272	1.00283188657386	1.06151233046876	1.05701110068399	1.10978324761964	0.794972222113134	1.02815776183534
Drug metabolism - cytochrome P450	0.913273859515299	0.906534753018212	1.12015077424751	1.19110900923933	1.09747652911276	0.882738480149646	0.888716594717235
Drug metabolism - other enzymes	0.755787051323175	0.800012713592004	1.30129922704734	1.14108069753425	1.09975455899823	1.07337267147785	0.828693080027167
