	B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Other glycan degradation	0.691207090206953	0.767486334824668	1.26786231214159	0.722234084455421	1.55941405521198	0.981242970337923	1.01055315282147
Thiamine metabolism	0.916670646200672	0.833548954598638	1.33023060708584	0.963848252869631	1.09777875631278	0.964645914490685	0.893276868441761
Riboflavin metabolism	0.801040307431305	0.822852807796187	1.30753043470644	1.20573240612378	0.842947808044089	1.34488036290801	0.675015872990188
Vitamin B6 metabolism	NA	NA	NA	NA	NA	NA	NA
Nicotinate and nicotinamide metabolism	0.823529737248675	0.896141865628582	0.771902636622051	0.813570732819044	1.58426104703331	1.09272215803856	1.01787182260978
Pantothenate and CoA biosynthesis	0.90757769548649	1.0534786005749	1.28200354309338	1.00350583956367	0.813732646635307	1.17646810520948	0.763233569436766
Biotin metabolism	NA	NA	NA	NA	NA	NA	NA
Lipoic acid metabolism	NA	NA	NA	NA	NA	NA	NA
Folate biosynthesis	0.706470479764238	0.703975377276263	1.55514440247813	1.42092642113434	1.02910504021484	1.02356121861411	0.560817060518076
One carbon pool by folate	0.879146390305882	0.844678273667077	1.35878799319225	1.24348024541038	0.939756395603259	0.810638939669096	0.923511762152064
Retinol metabolism	0.855369618985647	0.962257532913986	1.21697729115745	0.952894624578559	1.07937830343062	1.27988787782622	0.653234751107525
Porphyrin and chlorophyll metabolism	0.742523439616488	0.807218219570704	1.12006910727619	1.1549567007138	1.22633525486145	1.03966265045708	0.909234627504279
Ubiquinone and other terpenoid-quinone biosynthesis	0.735174607823526	0.863234966538265	1.42887093678415	1.19600013921386	1.1887195200872	0.886189486561718	0.701810342991278
Terpenoid backbone biosynthesis	0.768838214078043	0.725131327933828	1.22268618017585	1.41075546638671	1.07512543883437	0.883405685543106	0.914057687048093
Caffeine metabolism	NA	NA	NA	NA	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	0.944925598016347	0.949271686539194	1.13795162365135	1.03379969837091	1.01181284656842	0.85936607385797	1.0628724729958
Drug metabolism - cytochrome P450	0.878088903229175	0.748630185575418	1.24746862290508	1.441402332998	1.02023758748345	0.999453084339342	0.664719283469531
Drug metabolism - other enzymes	0.700710289288222	0.746244189539346	1.34226583579114	1.18858678246314	1.08586995404248	1.10691200334972	0.829410945525949
