	B cell	T cell	Malignant	CAF	Macrophage	Endothelial	NK
Other glycan degradation	0.66231918689699	0.687639163365546	1.30832098753476	NA	1.64212186992914	NA	NA
Thiamine metabolism	NA	NA	1.21493008421696	NA	NA	NA	NA
Riboflavin metabolism	0.816144138395012	0.866425123439695	1.25153852224007	NA	NA	NA	NA
Nicotinate and nicotinamide metabolism	0.887372460124649	NA	0.871056594757438	NA	NA	1.25870771747597	NA
Pantothenate and CoA biosynthesis	NA	NA	1.14140734035607	NA	NA	NA	NA
Folate biosynthesis	0.796350932763288	0.784874512337158	1.47055871625028	1.37161231196333	NA	NA	0.553659375397486
One carbon pool by folate	NA	0.88140216465329	1.16801080330142	1.51258637283986	0.828672272867538	0.784487044429589	0.759966173607678
Retinol metabolism	NA	NA	1.16277496337848	NA	NA	NA	0.673501237149631
Porphyrin and chlorophyll metabolism	0.724123896425254	0.793154764071776	1.14298986867971	NA	1.23325913185699	NA	NA
Ubiquinone and other terpenoid-quinone biosynthesis	0.783568997323039	NA	1.37734843777483	NA	NA	NA	NA
Terpenoid backbone biosynthesis	0.798478628974763	0.744113604588504	1.2127635088894	1.36030927589278	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	NA	NA	NA	NA	NA	0.794972222113134	NA
Drug metabolism - other enzymes	0.755787051323175	0.800012713592004	1.30129922704734	NA	NA	NA	NA
